notion_id,recipe_name,step_number,body_text
25a03a80-9ca1-8089-ae27-d622ccac063e,Chocolate Covered Strawberries,5,Optional: Double dip into the chocolate for extra chocolate!
25a03a80-9ca1-8089-ae27-d622ccac063e,Chocolate Covered Strawberries,6,Let set on counter before lightly covering in plastic wrap and placing them in the fridge!
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,1,"If using bamboo skewers, soak for 30 minutes"
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,2,Prepare chicken marinade by mixing all the ingredients together.
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,3,Cover with a plastic wrap and let sit for atleast 20 minutes.
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,4,Optional: Skewer Chicken
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,5,"Place chicken on a wire rack over a rimmed baking sheet under the broiler (about ~6 inches away), cook 2-3 minutes each side, flip once."
25a03a80-9ca1-808b-bac2-f0bbb6084f99,Chicken Satay,6,Preheat broiler to medium high heat.
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,1,Preheat the oven to 350 F and grease a loaf pan.
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,2,Beat sugar and butter in a bowl until smooth.
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,3,"Beat in eggs, then bananas. Add flour and baking soda, stirring just until combined. Pour into the prepared pan."
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,4,Pour batter into the prepared loaf pan.
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,5,"Bake in the preheated oven till a toothpick comes out clean (or till 205*), about 1 hour"
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,6,Let cool for 10 minutes before removing it from the pan onto a cooling rack.
25a03a80-9ca1-809b-9796-fc8dd66fdb27,Banana Bread,7,Let cool completely cutting into slices!
25a03a80-9ca1-80a3-a176-e5157cf4600e,Homura Don,1,"Mix ground pork with marinade, let sit for a few minutes while prepping everything else."
25a03a80-9ca1-80a3-a176-e5157cf4600e,Homura Don,2,"Chop onions finely, then put into a hot pan with oil and some ginger garlic paste."
25a03a80-9ca1-80a3-a176-e5157cf4600e,Homura Don,3,"Cook till translucent, then add pork. Spread flat then cook undisturbed on medium for 4 minutes. Once edges are crispy and caramelized, stir, breaking them up into very small chunks."
25a03a80-9ca1-80a3-a176-e5157cf4600e,Homura Don,4,"Once fully cooked, layer rice in bowls, top with spicy pork, place a soft-boiled egg, sprinkle scallions and optional garnishes. Drizzle extra chili oil or vinegar as desired."
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,1,"In a large pot, sauté the sausage until browned and caramelized. Transfer sausage into another bowl."
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,2,"In the same pot, add butter and sauté onions with some salt until translucent."
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,3,"Add garlic and sauté for another minute until fragrant. (very briefly, don’t let it burn)"
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,4,"Add chicken broth, water, potatoes, salt, pepper,  chili flakes, parmesan rind and bring to a boil."
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,5,"Boil until potatoes are tender. Stir in kale, and coconut milk."
25a03a80-9ca1-80af-923f-f65f49072a03,Zuppa Toscana,6,Add sausage. Taste and add salt and pepper if needed. Serve garnished with grated parmesan cheese.
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,1,"Marinate (velvet) the protein in soy sauce, baking soda, and white pepper."
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,2,"Mix the sauce ingredients together. Then make a paste in the mortar with some garlic, chilies, and small sprinkle or kosher salt. (optionally add in some sichuan peppers for extra spice)"
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,3,Chop all the veggies into slices or chunks.
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,4,"Crack two eggs into a bowl, season and whisk thoroughly."
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,5,"Then, into a hot pan, add half the oil, and spread protein evenly onto the pan, wait to get a good char before tossing. Once fully cooked, remove into a bowl."
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,6,"Pour rest of the oil into the pan and once heated, toss in the eggs and scramble. Once 75% cooked, toss in onions (and bell pepper, carrots) along with the garlic chili paste."
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,7,"Once the veggies are just a little tender, toss in the cooked rice and the sauce mixture."
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,8,"Add salt, MSG, and red chili flakes here. Also toss in basil, cherry tomatoes, and spinach at this point."
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,9,Finish with some sesame oil and Sichuan oil and stir.
25a03a80-9ca1-80b0-bd07-c19ff0bd6ad2,Fried Rice,10,"Top with lime, sliced jalapeno, and some sesame seeds."
25a03a80-9ca1-80b3-9e41-f83c73a27647,Lime and Brown Sugar Glazed Salmon,1,"Make a salt water brine and brine salmon for atleast 30 minutes. Then, fully pat salmon dry using a towel."
25a03a80-9ca1-80b3-9e41-f83c73a27647,Lime and Brown Sugar Glazed Salmon,2,"To a small saucepan set over medium heat, add sugar, honey, and butter. Cook, stirring continuously until sugar dissolves. Remove from the heat and whisk in the lime leaves, fish sauce, 1/2 tbsp vegetable oil, and ginger."
25a03a80-9ca1-80b3-9e41-f83c73a27647,Lime and Brown Sugar Glazed Salmon,3,Set aside to cool.
25a03a80-9ca1-80b3-9e41-f83c73a27647,Lime and Brown Sugar Glazed Salmon,4,"To a large nonstick skillet set over medium-high heat, add remaining vegetable oil. Season the salmon with salt and pepper and place in the skillet, flesh side down. Cook until nicely seared, 2 to 3 minutes, then turn the fish over. Lower the heat to medium and brush the top of the salmon with brown sugar glaze. Continue to brush the salmon with the glaze and cook until no longer translucent in the center, about 6 minutes. Serve immediately."
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,1,"Cut mushrooms up into small squares, and add into hot pan."
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,2,"Add oil into pan and then shallot, garlic, and chili flakes."
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,3,"Pour in orzo, stir, then splash of broth to deglaze the pan once it sticks."
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,4,"Pour rest of the broth, mushrooms, and add in the freshly grated parmesan, and knob of butter"
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,5,"Let simmer for 10 minutes, add in more parmesan (if necessary), lemon juice, salt and pepper to taste."
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,6,Add spinach in and stir till wilted.
25a03a80-9ca1-80b7-9a23-e556fe353446,Mushroom Orzo Risotto ,7,"Mix in parsley and serve, top with truffle oil."
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,1,"Combine all dough ingredients into a bowl, then mix till cohesive. Knead dough but note that it will be very sticky. If it’s too sticky, just use wet hands to handle the dough, avoiding adding too much extra flour."
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,2,"Let rise on the counter for an hour or two, or in the fridge for up to 7 days."
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,3,"On a 10 inch pan (either a well seasoned cast iron or non stick), pour a little bit of olive oil, some salt, chilli flakes, and oregano, then spread to coat the bottom of the pan."
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,4,"Then place the dough in the center of the pan and spread with your fingers till it reaches the edge of the pan, push up the sides cause the pizza will shrink. Use wet hands for this process."
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,5,Rub the surface with a littleee more olive oil and let it rise again in the pan for 30 minutes. (The olive oil is important it keeps the pizza from drying out while it proofs)
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,6,Grate mozzarella and cut up any additional toppings.
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,7,Sauce:
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,8,"Put the pizza on the stovetop on medium heat. Cook the dough till the bottom is a deep brown/black, you want it to be charred and to smell a little burnt (trust me). Shake and move the pizza around, lifting the edges to check its done-ness."
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,9,"When the bottom is fully cooked, take the pan off the heat, then spread on the sauce (all the way to the edges) and top with cheese (again to the edges!!) Optionally add more toppings at this point and maybe even top with a little more cheese!"
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,10,"Now transfer the pan under the hot broiler, close the oven door and let bake till cheese is browned to your liking (~3 minutes)"
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,11,"Remove pizza from the oven, let cool just till it’s solid enough to move, then immediately transfer to a wire rack (sooner your transfer the pizza, the crispier it will be!)"
25a03a80-9ca1-80cd-a397-ce9e92e82652,Pan Pizza,12,Let cool before slicing and serve!
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,1,"In a hot wok, add the mushrooms. Stir fry with no spices or oil till fragrant and toasty, then transfer into a separate bowl."
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,2,"Gently wipe the wok to remove any residue, then add in the ghee till melted before adding in the whole spices. Once fragrant, add the onions."
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,3,"Sauté until golden, then add ginger garlic paste. Fry till just a little toasted before deglazing with a splash of water."
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,4,Then stir in all the spices (except for kasthuri methi) along with the tomato paste and another 1/4 cup of water. Cook down till it thickens.
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,5,"Once thickened, pour in coconut milk and mix well and bring to a rolling boil on high heat. Reduce the curry again, then add in the mushrooms."
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,6,Cook covered until the mushrooms are tender (adding water if the curry is too thick)
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,7,Add kasthuri methi along with salt to taste at this point.
25a03a80-9ca1-80fc-a7c8-e8a1b59885a8,Mushroom Curry,8,Splash some lemon juice and garnish with coriander before serving.
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,1,"Break down the chicken wings into flats and drumettes. Place them into a large bowl, then add salt and baking powder, tossing them together till they’re all evenly coated."
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,2,"Transfer the wings onto a wire rack placed on top of a sheet tray (spaced apart so they don’t touch), and then refrigerate for a full 24 hours (4 hours minimum)."
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,3,"Then, turn on oven broiler to high w/ the rack about 8” away."
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,4,"Now, we’ll broil the wings for 25 minutes total, flipping them every 5 minutes. So place the wings in, wait 5 minutes, take them out before flipping each one, then repeat till all are an even golden brown and crispy."
25a03a80-9ca1-80ff-8284-f7ef19104186,Chicken Wings,5,"While cooking, making the sauces. Once all the wings are cooked, toss them in the sauce and serve."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,1,"Cut chuck roast into large chunks, salt and pepper the meat generously."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,2,"Chop an onion in half and peel the outer layer, also peel the head of garlic. Pull stems off of chilies and deseed them."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,3,"Then in a very hot instant pot, cover the bottom with a layer of oil (2 tbsp) and sear the meat on all sides (work in sections)."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,4,"Once the meats been seared on both sides, remove onto a sheet pan."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,5,"Add in another tbsp of oil and place the onion flat till it’s fully seared/blackened, then remove."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,6,"Toss in the the whole garlic cloves, 1 tbsp pepper corns, a cinnamon stick, 3 cloves, and a bayleaf to bloom spices in the remaining oil."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,7,"Once they’re fragrant, add in a sliced tomato and also try charring it."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,8,"Add onions back in and pour water till just covered, bring to a boil till softened. Pour all of it into a blender and mix till smooth before pouring back into the instant pot."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,9,"Add meat and strain the blended salsa back into the pot, add in extra water till covered along with some apple cider vinegar and chicken bouillon."
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,10,Once dissolved: and add these spices to taste:
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,11,Cook in instant pot on high pressure for 45 minutes.
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,12,Wait till the pressure is fully released before opening and removing the meat and shred.
26e03a80-9ca1-809f-818e-d3d3bdcb3c40,Birria Tacos,13,"Lightly brush consommé on corn tortillas, fry before topping with about 11g of oaxaca cheese and the meat, fry till crispy and serve with consommé, lime and cilantro and fresh onion."
27603a80-9ca1-803f-bd98-f6ed1b4100dc,Shrimp Fry,1,Marinate shrimp and set aside for maybe half an hour atleast
27603a80-9ca1-803f-bd98-f6ed1b4100dc,Shrimp Fry,2,"Into a mixer: Chopped onions, chillies, ginger garlic paste, and all the spices."
27603a80-9ca1-803f-bd98-f6ed1b4100dc,Shrimp Fry,3,"Pour 2 tbsp of oil into a pan, once heated fry shrimp till 50% cooked, then remove."
27603a80-9ca1-803f-bd98-f6ed1b4100dc,Shrimp Fry,4,Pour in another tbsp of oil and pour in the onion paste and curry leaves. Fry till it comes together.
27603a80-9ca1-803f-bd98-f6ed1b4100dc,Shrimp Fry,5,Add 1/3 cup of water + the 50% cooked shrimp. Again cook till the onion paste sticks to the shrimp making a thick curry.
27603a80-9ca1-803f-bd98-f6ed1b4100dc,Shrimp Fry,6,Top w/ garam masala and coriander and serve with rice.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,1,Generously salt chicken on both sides and let sit for 10 minutes.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,2,"In a saucepan, heat water till it comes to a boil."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,3,Add in all of the chicken into the stock. Try to ensure they’re as submerged as possible.  Put a lid on and let braise on low for about 20 minutes.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,4,"Process Vegetables - Chop up on onion into large chunks, de-husk tomatillos and cut in half, destem and cut in half the pablanos and jalapano peppers."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,5,"Preheat the broiler to high. Then, peel the garlic cloves and spread the garlic along with the vegetables onto a sheet pan with some parchment paper."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,6,Toss the tray under the broiler for 15 minutes till they’re nicely charred and caramelized.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,7,Move everything from the sheetpan (except for one of the roasted poblanos) into a blender and blend on high for about 1 minute until smooth. Then dd in some fresh cilantro at this point and blend again.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,8,Remove chicken and let rest till cooled slightly.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,9,"To the chicken cooking liquid, add the pureed tomatillo sauce along with some better than bouillon chicken base."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,10,"Bring the mixture to a simmer and cook for about 20 minutes, reducing the sauce by 30-40%."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,11,"Shred the chicken into threads that are about 1/4 inch wide, should still be a little chunky and not over shredded to prevent it from becoming mushy."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,12,Grate the smoked gouda.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,13,"Taste the enchilada sauce, taste and add salt to taste at this point."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,14,"Pour 100g of the tomatillo sauce as well as half of the grated cheese into the bowl with the shredded chicken, stir till well combined."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,15,"On a nonstick pan, heat the tortillas as you go so they’ll remain pliable, else they’ll crumble as we roll them! Also, prepare a sheet pan with parchment paper to the side and preheat the oven to 450*F."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,16,"Once tortillas are gently heated, brush tomatillo salsa to both sides of tortilla, spoon in about an 1/8 of the chicken cheese filling (about 65g) into the tortilla. Roll tightly and place onto the sheet pan tray with the seam side down. Make a second pair that sits snugly next to the first wrapped tortilla."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,17,"Continue till you have 4 pairs of neatly rolled tortillas on the sheet pan, with each pair touching and about an inch space between each pair."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,18,"Cover each pair with a few spoonful's of the tomatillo sauce, spread to just cover the tortillas without drowning them."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,19,Top each pair with their quarter of the remaining shredded cheese (about 40g each).
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,20,Put into the oven for 10-12 minutes till the cheese is starting to brown.
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,21,"While the enchiladas are baking, add in some sour cream, the last roasted poblano, and some water and mix till smooth to make poblano crema."
27703a80-9ca1-8005-b341-de8201b44400,Chicken Enchiladas Verdes,22,"Once fully baked, to serve, optionally top with some shredded little gem or romaine lettuce for crunch. Add a generous spoonful of the prepared crema and top with fresh cilantro and the jalapeno slices from earlier."
27a03a80-9ca1-8059-8a77-c98cd47b502a,Hazelnut Macarons,1,Preheat oven to 300°F. Place rack in the lower section of the oven. Fit baking sheets with parchment paper or silicone mats.
27a03a80-9ca1-8059-8a77-c98cd47b502a,Hazelnut Macarons,2,"To the bowl of a food processor (ideally fitted with a metal blade) add confectioners’ sugar, almond flour, and hazelnut flour. Process into a fine powder, about 30 seconds. Using a normal strainer, sift mixture onto a sheet of parchment paper three times and discard any coarse meal (no more than 1/2 teaspoon). Set aside."
27a03a80-9ca1-8059-8a77-c98cd47b502a,Hazelnut Macarons,3,"Onto the Meringue → To a bowl, add egg whites and cream of tartar, use a whisk attachment to whip whites on medium speed until foamy. Gradually add sugar, stopping to scrape down the sides of the bowl as needed."
27a03a80-9ca1-8059-8a77-c98cd47b502a,Hazelnut Macarons,4,"Once all the sugar is incorporated, continue to whip meringue into stiff glossy peaks. The meringue should have the consistency of shaving cream."
